"username","description","verified"
"trustingmyvibes","Old soul taking road less traveled.💙💕🌎 Self-love is essential for authenticity. “The purpose of our journey is to restore ourselves to wholeness” Debbie Ford",FALSE
"denton310","I stand with Ukraine and democracy 🇺🇦",FALSE
"dwebspider","resister, anti-putin, anti-traitors/russian operatives in office. Protect planet, climate change is real, hate poachers of endangered species.",FALSE
"WhoIsAsking8","Take care of yourself and care about others. slowly migrating to @mastodon.social",FALSE
"jerrylenhart5","Scottsdale AZ Realtor Villa Monterey Hiker Bicyclist Kayaker Lousy Guitar Player",FALSE
"lesafy7","",FALSE
"DebaranAlex","MoT. ENM. GGG.  
Here to nuzzle the kind, bark at the wicked, and bite louts.
Likes, follows, and retweets mean fuck-all; i don't know who most of you ppl are",FALSE
"horsehugger","Maverick, pragmatic humanist, farmer/businessman, woodworker, old tractors, real science. Genealogy nut. Shawnee Straight Tail Meaurroway 7th greatgrandfather",FALSE
"JeffreyAWillia4","I am dynamic, Retired Marine Aviator, #Bitcoin investor, #OTCtrader, #Cryptocurrency exchange developer, #Entrepreneur, #Venturecapitalist, #ITsecurity",FALSE
"FactsREvidence1","Ret conflict pro; Mom-frmr FBI; pop-former Navy WW11. Folks, Putin is an assassin, plain & simple. #ArmUkraineNow",FALSE
"Cathryn12164403","dog mom, gardener, music lover...VOTE.",FALSE
"Rmhcpa875","Married, self employed CPA 5 employees, veteran (USAF),3 adult children, 6 grandchildren, part time college instructor, registered independent, motorcycle rider",FALSE
"debraalv","🌊🌊🌊Resister #VotingRights #WomensRights 
#VoteBlueAlways
no DM's please, I block all MAGA & Q idiots",FALSE
"loveis716","Love is my REAL last name! I enjoy cats, humor, writing, music, & books. Equality & justice for all 🙌🏻🙌🏽🙌🏾🙌🏿 #lupuswarrior😷 #VoteBlue🚫DM’s I RT a lot",FALSE
"mammarama14","Music Lover from WNY ~ Politics: good/bad/&ugly.",FALSE
"groves_lin","“Fight for the things that you care about, but do it in a way that will lead others to join you.” RGB",FALSE
"JSmooove","",FALSE
"jaswtaylor1","",FALSE
"TymberDalton","(She/Her) Snarky, mostly harmless author, geek, Pagan witch, Oxford comma ♥️er. Gives good brain. Part-time shield maiden in training. Spoonie. #AuDHD",FALSE
"divineP","DivineP@mastodon.spf.org fun loving, water freak, that loves music, wine, chocolate, travel.......life. EMT """"wine, whiskey and guitars""""",FALSE
"n_ymiller","Former Republican, NEVER tRumper, proud gun owning American who is not moving on from the 1/6 terrorist attack. #GOPBetrayedUSA #SeditionHasConsequences",FALSE
"KathleenWoodw17","Yellow Dog Democrat, love fashion and politics, animals, and millions of other random things.🇺🇸",FALSE
"lightboxgallery","Look at this photograph, everytime I do it makes me laugh...",FALSE
"loligaines","Mom, Artist, Purveyor Of Tolerance.  “Speak the truth, even if your voice shakes.”",FALSE
"SeekTruth2021","I have zero tolerance for willful ignorance.
“Never argue with an idiot. They will drag you down to their level and beat you with experience.” ― Mark Twain",FALSE
"magicdmw","Interested in science and the humanities. Keen syfy fan, huge star trek fan. Also into current affairs and economics. Pretty curious about everything.",FALSE
"LibbyStone2","",FALSE
"HawkmanAlex","I live in the mountains with two dogs I suspect used to work for the NSA. They watch every move I make. They are watching me now.",FALSE
"LoriBrabant","#ForThePeopleAct, #StandWithUkraine, #DemCastUSA, Boston Strong, Resister, Feminist, Activist, Indivisible, ACLU & LBGTQ supporter",FALSE
"HopScott21","Avid Sabres, Bills and Buffalo fan. I love beer and having a good time.",FALSE
"fight4women","Climate Change, the #1 issue facing humankind. 
#BlueWave2024 #ProudFeminist #Prochoice #EqualRights #LGBTQ+ #BLM #ExpandTheCourts #EndFilibuster #Ukraine",FALSE
"gadfly","I feel a desperate need to be irritating and reform society.",FALSE
"dennisvaldes","",FALSE
"fuzhi_lin","#FBR. #resist. GQP is the American Nazi Party! #VoteBLUE2022, defend our democracy!",FALSE
"TuSweetsia","I'm an old lady that dont give a shit..I dont answer DMs ever for any reason.  Firm resister and Marine/Navy mom. To many # to list- just vote blue already!💙",FALSE
"greensilkmini","Run for Something, every election, school board to State level.
Eliminate gerrymander & """"Citizens United"""".
Take back American education.
Live in truth & facts.",FALSE
"Sssnowffflake","Teacher .Protection of our founding fathers beliefs. Our Constitution must be protected. JOINED twitter to help resistance, love our country!",FALSE
"missb62","Stroke survivor, Mother, Grandmother, liberal dem,blame Reagan for Econ. mess,am that nice lady @ church",FALSE
"D_Glenn101","Trinidadian-born American librarian & intersectional environmental organizer 🇹🇹🇺🇸 🏳️‍🌈 cofounder of @FoundationGlenn #ITrollBack EN🇬🇧 DE🇩🇪 ES🇪🇸",FALSE
"3GirlsMeemaw","#Resist #FBR #OrganDonorAwareness 🌊🌊🌊🌊🌊",FALSE
"EllenBridle","Activist/organizer: phone banks, canvasses, voter reg., postcards. Helping people volunteer. Let's vote out Mango Mussolini & every one of his @#$ criminal GOP.",FALSE
"JDignum","Sci-fi fan on the side of Nortel LTDisabled & former employees; health, democracy & facts. Resist RepubliCons globally. Flitting back and forth for now - mstdn.",FALSE
"BLongstr","Former Director of Corporate Communications. Recently retired. My views and the opinions I share are my own.",FALSE
"whenpigsflyyy","Bleeding Heart. Bunny & Tree Hugger. (Eleanor) Roosevelt Democrat #Vaccinated  Find StanleysMom on Post @ whenpigsflyyy",FALSE
"KnudsenColleen","",FALSE
"Jack4Ward","Time to choose a side. The dark side thinks it’s won but hope still lives. #Resistance",FALSE
"Prince863","X-Rapper, College Educated, with a love for ☮️, poetry, history, and God.👌 Independent Thinker🕴🏿",FALSE
"nodedog","Elections over, Joe Biden won.  I consider ad Twitter accounts garbage and will be blocked.  Not trying to get large numbers of followers.  No dms.  No lists.",FALSE
"smith_anania","I love my hubby & fur babies!! #Papa #JackRussel 💙🙌🏼🇺🇸",FALSE
"MadamWiser","Not a casual observer.  🌻  
Proud member of Team Normal.

Americans don't want a civil war.  We want a CIVIL SOCIETY.

New York",FALSE
"chestypuller92","Jeremiah 29:11                                                     Phil 2:13",FALSE
"sievertdave","I care about what happen to Florida and the US--I see our basic rights being destroyed and the Constitution being turned into a mockery by trump and desantis",FALSE
"Mkstar4","",FALSE
"NYCINORL","She/Her -Hockey Lover 🏒- Want-A-Be hockey photographer 🏒📸 - Whiskey Drinker 🥃 - Collector of hockey jerseys - Inked Lady - ACAB",FALSE
"paul_a_kowal","Storyteller/Writer ⌨️
Former: Technical Director -CUNY, Stage Carpenter/Electrician, Draftsman, Stage Manager /Lighting Designer -BL, Software Training Manager.",FALSE
"carol_clovely4","Grandmother of four HRC #RESISTANCE Hate Trump with every fiber of my being. #KHive  So proud of our President and Vice President.",FALSE
"OmegaForensic","Omega is a professional engineering firm providing support to insurers, adjusters, attorneys, owners & property managers. Tweets are informational only.",FALSE
"mikesara444","If you make someone think they're thinking, they will love you, if you really make them think, they will hate you. Dan Marquis",FALSE
"BackpackandGear","One person's Backpack experiences in heavenly places and the gear used. How will you benefit? By having better health, an uplifted spirit and lots of great fun!",FALSE
"Charlieflagat","Sheet Metal Worker/ Welder/ Gentleman Farmer / Big Time Wrestling Fan / Gator Fan #Spacenerd Limited patience with Marxist/Leninist’s",FALSE
"ToniRagusa","The truth will set you free, but first it will piss you off.—Gloria Steinem |You can have nice weather or democracy! That’s life in a blue state.",FALSE
"whrjongo55","Happy in love 41yr,I say Gay, I love You Roy!!! Cher,😍,White Castles,Hudson Valley, LI NY He/Him🏳️‍🌈🌊✈️ Pan Am collector",FALSE
"PomLvr","Just trying 2 get through this thing called life. #Prince #Negril #NeverTrump",FALSE
"JackRash11","",FALSE
"rwentworth1","Marketing, Communications, PR, IR & Branding. vote! https://t.co/6SIYqnaPch: @rwentworth1 Mastodon: @rwentworth@awscommunity.social",FALSE
"MarchionnoJoe","PhD engineering student 📈 @angeliniecology -Coastal restoration #ecology | freediver 🧜🏽‍♂️| L4 routesetter and climber 🧗🏻‍♂️| he/him",FALSE
"jesusmisanador","Paciente de Psoriasis grave pero no me impide seguir luchando por mis Sueños aunque mi Dios no me sane lo seguire amando.",FALSE
"Civil_Civics","#resist 🇺🇦 #persist #climateemergency 
personal acct- President of @Flademenvcaucus DECF",FALSE
"puustikorva","väliaikainen ulkosuomalainen USA:ssa. Uutisaddikti, joka yrittää vähentää.",FALSE
"AshleyAlready","I wanted to go out and change the world but I couldn’t find a babysitter.",FALSE
"Gone2Ceed","PRIMITIVE FEMINIST 💛🤍💜

#GunViolenceIsMaleViolence

Don't be a sexist racist

#SexMatters

Porn hurts humans

#DefundTobacco",FALSE
"No_Mattic","Husband, Father, Bengals, Reds, Canes, Bolts. I move a lot.",FALSE
"bajabug","""""The Party told you to reject all evidence of your eyes and ears. It was their final, most essential command."""" - """"1984”George Orwell Mayflower & P Henry Dece",FALSE
"EveLyn_Eub","Fl Grl, atomic age, garden crazy, retired RN, 🌸🌊 proud of Biden and Harris. Get vaccinated people.",FALSE
"tyharbs","Renaissance nurse ♤  If it was so, it might be; and if it were so, it would be; but as it isn't, it ain't. That's logic. Lewis Carroll",FALSE
"BIG1059FM","South Florida's Classic Rock! 🤘🏻 Home of the Miami Dolphins, @CastronovoShow from 6:00-10:00 am, @ameliaonair, and @DocReno!",FALSE
"MorumtriH","",FALSE
"144Health","I Share Advanced Health Information from the Top Bestselling @medicalmedium Books on Healing Chronic Illness (not affiliated) 🗽

▶️Follow for Optimal Health 🍀",FALSE
"Karthikgsks","Fleet as an arrow :,;:,உலகப்பொது மறை திருக்குறள்",FALSE
"_leftallthetime","looking for comrades in this capitalist nightmare. Worker, AnCom, Anti-fascist, dad. he/him. BLM!",FALSE
"StPeteMomma","Opinionated. MomLife 
Supporter of human rights & equality.  Gardening FibroWarrior Sarcasm & Humor GenX Survivor 
Live, love, laugh, repeat. ✝️",FALSE
"FL_Chelle","You can't ride two horses with one ass, sugarbean. Read my timeline and #RollTide.",FALSE
"johndoylejr","E'ryday I be shufflin...

warning. . I'm a serial retweeter..",FALSE
"PPizzlewizzle","I read a particular comic book and lost my mind.",FALSE
"Michael92767585","just on here checking out to see what Twitter has to offer that is about it really and see what happens and bring people together that's what it's about.😁🤜💯",FALSE
"KarenLeidy9","I have #AML I hope to live long enough to see the Republican party wiped out of existence. SO, LET'S HURRY UP!! #CFS #ME #Cancer #Leukemia #LoveIsLove #Veterans",FALSE
"linda_ronay","",FALSE
"hooperemm80","to help find missing love ones, missing pets. to get justice 4 victims",FALSE
"MissHarris80","Khalan and Kaitlins Mom💖

He may not come when you want him but he's always on time.",FALSE
"EelZebra","Vax yourself and back up offa me. Yeah, I got a mask on. You got a problem with that? Best step #StandWithUkraine The pen is mightier than the sword. #VoteBlue",FALSE
"Tiuchis10","Psicologa bipolar y madre de dos bendiciones",FALSE
"sharpe_noelle","I am a Married mother of 2 boys. I am a Roman Catholic. I love Nature, Vegan, Yoga, Running, Earth Final Conflict and Next Level Soul.",FALSE
"jn_eclipse","wife, mother, grandmother, retired RN. 🦜 🦜 🦜 parrot mom. #Resister #FBR #GunControlNow #WomensRights #StandWithUkraine 🇺🇦 #VotingRights #🟦",FALSE
"Metatrone2025","",FALSE
"ClesterRebecca","I like facts, not fiction. Former navy wife and traveler. Save the rainforests. 🌊🌊🌊",FALSE
"_jumprightin","Sports. Ramblings. Queer af. #BBN #DaBears #DawgPound #Cubs #Hawks #UKToTheNBA #Wrasslin #CurlEmIfYaGotEm #GreatWhitesOrBust",FALSE
"MC_Punk22","Life motto: “Find someone who loves you like NCAA officials love calling charges.”",FALSE
"lillibet_marie","adventures through the Anthropocene with this woman of a certain age",FALSE
"KlutzCargo","He/him with a Yuba Mundo, a Surly Cross Check, and a few other bikes. Try to ride every day, and to use my Car as little as possible.",FALSE
"MaryannePena329","married 35 Years 😎 Mom of 2 girls, go UCF Knightshttp://www.greenplanetwaterways.org",FALSE
"pmagn","#ClimateEmergency 
Born ~@318ppm 🇯🇲 🇨🇦#istayontheground  #photography #pnw #xr #MEER",FALSE
"TampaNarwhal","Narwhals Narwhals swimming in the bay!  #420 friendly.  Team Sugar Britches.♡  They/Them/Theirs",FALSE
"DauntlessDanny","proud father, lucky husband, Amazoneer, fiat miner, anything poker, handicapping, chess, futures, options, microbiota",FALSE
"meanwhilefl","I tweet therefore I ...no no.....",FALSE
"JaSnow6","Retail Manager and hobby photographer of nature & wildlife.",FALSE
"TheAsthmaCures","#TheAsthmaCures https://t.co/vRkYeArZWg helping those with chronic #asthma https://t.co/7SMiyxzFdG resolving https://t.co/nIlzNga34W https://t.co/T67YXQ3eBZ",FALSE
"NotfreeunderGOP","Proud Democrat working to #flipFloridablue #healthcare #votebluetosavedemocracy #Bluewave",FALSE
"CourtneyLee0329","Wife💞Mommy of 5 🤞🫶
$CourtneyLee0329
#TeamStacks
#TeamEricLamarBeatz
#SlickGang",FALSE
"Phrogg1822","International Geologist and Professional Frenchmen. Opinions are my own. Treat others as you would like to be treated.",FALSE
"adhemartv","Husband, Father, Son, Brother, Americano.",FALSE
"FeloniousSpee","This Twitter account is for building my cognitive bias' gilded cage.",FALSE
"RoosforFlorida","2022 Libertarian candidate for Florida Governor. Freedom without Compromise. #VoteGold #FreeRoss #Bitcoin",TRUE
"Adopt4uLynn","I want to bring joy to your life. I can show you how. Christian Mindset Coach, Wife, Animal Lover. Everything I learned about God I learned from animals.",FALSE
"juliannn_67","",FALSE
"ElDon78","From the Chelsea Naval Yard to high school, Riverside CA. 4 yrs UCSB, 2 UCI, 3 more UO, 2 at U. Chi., 18 at FSU (Go Noles), 31 and counting UCDavis (go Ags).",FALSE
"HetheFalcon","The attack on Ukraine is driven by GREED. If we stand w/the people of UKRAINE & protect our planet, we will END our ADDICTION to FOSSIL FUEL #NODIRTYDEAL 🚨",FALSE
"FLWaterways","Challenging communities to improve, beautify, and protect our ecosystems. Learn more: https://t.co/SvGYPuqTcH 😎 #ThrivingEcosystems #PlantNative #SoFloCleanups",FALSE
"luguash","From Puerto Rico
Business owner of OMG Meal Prep
Love the ⛱️🏖️
sci-fi movies
comics
sex and rock and roll 🤘",FALSE
"LeslieFarrell","publicist/writer - striving for planet protection and peace of mind for all; enjoy helping others promote their own passions",FALSE
"UltraViolette76","Nature lover, adventurer, Carpe Diem aficionado.",FALSE
"RCLM567","I’m just here to read the comments. 😁",FALSE
"ScarletM1926","Reproductive Rights. Democracy. I will never stop fighting for my country🇺🇸",FALSE
"BGMCREATIVE","Author , Award Winning Creative Ad Man, Marketing and PR Specialist, BMI Songwriter, Broadcast and CableTV Veteran,   Motto: If it's not fun don't do it",FALSE
"K9RescueDrFloof","Lived on the street most of my life. I am so #thankful that @FLWaterways rescued me! #DogsofTwitter (tweets are unofficial and personal. #ClimateAction",FALSE
"kaypilch1679","Iowan living in Florida
⚡️Bolts3peat- let's go!⚡️⌚️🌩",FALSE
"BenLSwanson","""""It's a great day to have a great day."""" 💙 Adventuring through life with @CalebMerendino & 2 cute pups. 👨‍🤝‍👨🐶 @StudioSwanson 🎹 @FLWaterways 🌎 he/him/his",FALSE
"MichelleSweari5","I'm weird but in a good way.

Cheese & Rice!",FALSE
"UdenCatherine","Personal Twitter account of Catherine Uden. Views are my own.",FALSE
"drbcundiff","Teaches communication St. Petersburg College. Sons of the American Revolution. Gideons. Voiceover Artist. https://t.co/lxD2e6Fft4 ✝️ @drbcundiff",FALSE
"moses_faris","gua suka sesuatu yang aneh haha",FALSE
"abushaula2","",FALSE
"thomasc08182575","Virginian by birth, Crucian by choice 🇻🇮.",FALSE
"FranOSullivan7","",FALSE
"MaggieW02911212","",FALSE
"dulaney_ruth","I'm a Christian Conservative SBBW looking for new friends /longterm. Honesty, intelligent, loyal, sense of humor a plus. No drama, lies, or violence.",FALSE
"xL3v3Lx","Streamer /First time Dad /Twitch affiliate/Busting butt daily to entertain nightly",FALSE
"bedismyfavorite","wash your hands and say your prayers because Jesus and germs are everywhere

#giraffeoftheday",FALSE
"bratz5321","I have an open mind, doesn't mean I'm going to fall for your BS. ESE teacher #TheResistance #Imwithher #StrongerTogether #BlueWave #TeamJoe #Unions",FALSE
"Catcahill15","#FuckPutin
GOP = Gaggle of Pedophiles

GOP are terrorists. Stop negotiating with terrorists.  Elon Musk is a twatwaffle.",FALSE
"meomy1236","RT IS NOT A ENDORSEMENT IT'S MY OPINION! I Block Trump supporters #science #Biden #Obama",FALSE
"jamescando","The silent one without words, unheard, unseen pondering one's humanity. Watching, listening, peeling back what is unseen by others to see what resides within",FALSE
"BaylessMarilyn","USAF family (retired). What’s new and exciting ? Find the truth. Tell others.",FALSE
"Adenosurvivor","Trade with(Rachels_44VSOptions) Trading! Rachel-Rolls, leaves Runner, Scalps!!!!!!!Fast$$$. OR Sam (Smart Trader with SmarterTrading411)finds Monster Wow Moves.",FALSE
"STIJL","Media studio hinter den bergen.",FALSE
"yeawelltoldu","Left handed wanderer in Milky Way Galaxy, passing through.",FALSE
"sherpamom24","Mom, wife(no DMs), psychologist and companion to a black lab.  Worried for the future; Covid, democracy, human rights & climate change. #VoteBlue",FALSE
"CtryOverParty","🇺🇦I Stand With Ukraine and Pres Biden.🌊🌊🌈🌈🐶",FALSE
"MrDavidBloom1","#resist, #votebluenomatterwho, #FBR, 🚫DM’s please",FALSE
"MaryRMcdermith","I am a 81 yr old democrat woman in CA. I am outspoken even somewhat rude. I lost my white gloves . I always vote blue but I do criticize them virulently.",FALSE
"SPeteDave","I block crypto-babble, ‘influencers’ and spammers, MAGAts, “patriots”",FALSE
"KennyFoley3","Question everything. It's all a lie.
God is the only truth.",FALSE
"debbterhune","🌊🌊🌊🐩🐩🐱🐱
Resister, Animal lover, 
Despise all things Trump",FALSE
"tim_morrissey","baseball, hockey, footie, fly-fishing, urban life, coastal environs, spatial technology.                            https://t.co/9veSWJZFMw",FALSE
"Beu4ic13","Former FLDOH RN, current sea turtle patroller, always bleeding heart liberal Floridian. Fluctuat nec mergitur.",FALSE
"BugdenSteven","Air Force Brat. Retired Respiratory Therapist.  Pro-Choice/LGBTQ Ally/BLM/    NO DMs please",FALSE
"ChrisAlex13927","Environmental Advocate, Tennis Coach, Animal Lover, Vegetarian and Fitness Enthusiast",FALSE
"KatyDavisgnv","Student, Campaigns, Elections.",FALSE
"DebbieD057","Love animals, kids and my grandkids. Good people. I love down to earth funny people, 😃  Sweet and sassy. Be kind. Vote blue 💙",FALSE
"69Marine","#FREEDOM #2A #USMC #God #Veterans @69Marine on TRUTH #UltraMAGAChapterLeader #Constitution Learn about #SeedOils and #GrassFedGrassFinished #PastureRaised",FALSE
"Worried_gma4","FULLY VACCINATED AND PROUD OF IT     NO DM’S",FALSE
"natureboy1t","",FALSE
"Alwys7_4ever73","Sag Sun/Aqua Moon/Aries Rising. Ot7💜 Kim 🐨Namjun. 🐿️Hoseok. Music Lover. No minors 🔞 please. 1-800-273-TALK (US helpline). You are not alone.",FALSE
"TroyRubert","Cunninghams Law beneficiary. Failure is the best teacher. Know yourself and your enemy. Once is an accident, Twice is a coincidence, Three times is enemy action",FALSE
"DetlevBronk","Verified / A 125 year-old genius, quasi-related to Benjy Bronk of the Howard Stern Show. He is not permitted to speak my name, but you may. Ask me anything.",FALSE
"islandistheway","President / KS Consulting Services LLC: Motorsports, Sports & Entertainment Marketing /PR /Image Branding/Partnerships /Logistics/Events/Blogger #spieseyes",FALSE
"Rene70115","Louisiana native who moved to Florida. Moving out of Florida, because the rent is high and the education level is low.",FALSE
"TolerToler10","Ecologism and Environmentalism are neither left nor right but ahead.  The international green movement must move beyond leftist politics.",FALSE
"Magnum_Hermosa","Looking to eat healthier, spice up your recipes,or find the best substitute for more ingredients to accommodate special diets or allergies? @Magnum_Hermosa",FALSE
"Interna13819612","International Network of Green parties and political movements unifying Green Legislators across the globe. Based in Florida USA  tel. 813-748-7340",FALSE
"_baconwrangler_","Just a guy who loves his bacon. Currently addicted to Star Citizen.
""""He's just a poor boy, from a poor galaxy""""",FALSE
"Im_X1","Katrina refugee - wishin' I was back home. #MKE/#NOLA. #Foodie, #Tequila-lover #Oyster-lover. Irreverent, damn liberal. Nerd. she/her",FALSE
"NanaB_2010","@Owl_B_There (Post)  @NanaB_2010@mstdn.social Psych major, Analyst  #BlackLivesMatter #Autism  #PTSD #BP #SpecialOlympics #Advocacy #Climate #Equality #Spoonie",FALSE
"queenadalite","I grew up on the street where Kurt Vonnegut grew up.
We are soul neighbors 
""""We could have saved the Earth but we were too damned cheap."""" 
~ Kurt Vonnegut",FALSE
"LoveGeeVee","All good things are wild and free ✌🏾",FALSE
"TheGF","",FALSE
"TerriDuffey","#Resist, Survivor, animal advocate, liberal, wife, cyclist. Trying to be a good human. 🌱🚴🏼‍♀️🐶🐱=🐷🐮 #poweredbyplants #livestrong #compassion #cycling",FALSE
"BGRDad","Husband. Full-time Dad. USN Veteran. LEGO & Star Wars LEGO fan. The 2nd Amendment defends the 1st. Defend it.",FALSE
"dustedcondor","nature, surf, market technician, and other stuff.",FALSE
"phosphoria31","tweets about the 15th element, related things",FALSE
"Jo_Barnes","Newtons 3rd Law is 1st Law of the Universe.  
Supporter of @BushHeritageAus",FALSE
"bankingoffgreen","Just along for the ride. Sports/Festivals/$$$ is why I'm here.",FALSE
"LimWeather","Tweets #USwx #SevereWx #TropicsWx #FireWx #WinterWx
👍 @NWS @NHC_Atlantic @NHC_Pacific @NWSSPC @NWSWPC
❤️🏝️🌪️⛈️
W/E Pacific, Atlantic
Likes Mother Nature",FALSE
"RoseyMcDonald7","Artist from Yellowstone,Montana,
no matter where I run poverty & illegals have destroyed lives! 
Awake not Woke,
please end open borders , not open hearts♥",FALSE
"tickedofflymie","Lyme Disease warrior & CPP advocate. Passionate about animals, music, & photography. Partial to pirates, knights & vampires, too.",FALSE
"Ghee_Marrteenoh","#ChampaBay #GoBolts #RaysUp #GoBucs",FALSE
"Chic_AvantGarde","Corn can’t expect justice from a court composed of chickens.
~ African Proverb 
#RuleOfLaw #ArmyBrat #AdultHumanFemale",FALSE
"OLEWSOLARTV","@OLEWSOLARTV☀: #SolarEnergyAge☀ Solar-services..Ss.™ #SolarTech☀️ #NeedSolar☀?!™ #Old2NewSolarInnovation☀
#SolarPoweredEVCharge🔌-☀",FALSE
"LeAnneS46502915","Trying to live somewhat of a normal life in a crazy world.😉",FALSE
"lmhuber1982","Human. She/Her. Proud Blue Voter. Woman for Women's Rights. Anti-GOP.",FALSE
"LotusMystique","Optimist with a grasp of reality. Kindness enthusiast. Practitioner of gratitude. Student of life. I #saygay 🌈 with #pride.",FALSE
"fi09247728","",FALSE
"delta_rat","Brad Fisher's SWFL based musings. You only live once, but if you do it right, once is enough. Loving life in The Free State of Florida.",FALSE
"s13_con","#thisusedtobethepoundsign USF geology 🐂",FALSE
"CMcKayFL","SKYWARN, CERT, WX & wildfire geek, everything RF, broad-spectrum hobbyist.",FALSE
"TrumpWin24","ULTRA MAGA🇺🇸❤️🤍💙
#Trump2024🇺🇸Your Vote Matters🇺🇸Republicans who stay home elect DemocRats🇺🇸Vote in Person🇺🇸",FALSE
"klangola","Moderna bivalent on board! Connecticut gal transplanted to Florida eons ago (please don't hold it against me). Cat lover. Tampa Bay Rays fan.",FALSE
"ndhottie1978ya2","Retired nurse. Four+ yrs ca fght.  No jabs had😎 Always vote for who u can, Look in the Eyes & see if the eyes match the words & body language.",FALSE
"SusiBV","I am back home where I have always left my heart...The San Francisco Bay Area. #CaliforniaDreaming😎💋",FALSE
"DiegoUK","Dual American🇺🇸🇮🇪Irish Progressive husband and father. Into politics, social justice and income equality. Feel free to share my content and links. #NotMyComrade",FALSE
"AllardPPC","'Strategic Solutions for Business, Communities and Planet' • Wetland and Ocean Conservationist #CoastalYomper",FALSE
"terrig103","USMC WM Veteran PTSD/SURVIVOR #VetsAgainstTrump #Vets4Biden #RBG4Ever #Resistance #MeToo #VetsResistSquadron #FBR #Resist #Persist #VoteBlue #bekindtoelephants",FALSE
"MaxineSykes","#ResistanceTaskForce #BlueWave ##BlackLivesMatter",FALSE
"xoxpaigee","probably at a concert | 21 | UCF '23",FALSE
"MsCBBoots","Cowgirls don't sugar coat anything. Other social media  same handle",FALSE
"floppy115","When Life Hands You Lettuce, Toss A Few Salads!! Grab the world by the Genitalia! Never look back!",FALSE
"9zimmy9","Time is a jet plane, it moves too fast
Oh, but what a shame if all we've shared can't last - BD 🎸",FALSE
"narrtrek","I would remind you that the role of court jester is an essential one. Photos/videos in """"landscape,"""" deal with it. Gettr/Parler/Gab: NarrTrek",FALSE
"SHViking","My loves are my husband, my kids, my grandkids the Vikings, Twins, TWolves, MNWild, ISU Cyclones, Oregon Ducks, SH Hawks!",FALSE
"mcomeskey23","USF Alum 🇺🇸 Army",FALSE
"BTreenew","We need to PROSECUTE those that gained Illegitimate VOTE BY MAIL rule changes Hippocratic oaths broken - people died! All for the want of a cheap drug.",FALSE
"Kaiya1212","Writer; animal, nature, music, travel & language lover. Despise Cancer, Trump, Intolerance, & Pain. Pick the order!😾#WritingCommunity #WritersinQuarantine #FBR",FALSE
"sonicgabe","St. Petersburg, FL based photographer, retired musician, sometimes writer. #ShittyCameraChallenge Champion. Prints available on my website.",FALSE
"stpeteroadrunrs","",FALSE
"Loves_Equines","#VoteBlue  #Resist  Love ALL animals, especially horses. 🐎 #VotingRights! #CivilRights! #WomensRights! #EqualRights! #LGBTQ-ally #BLM #MeToo  #TrumpToPrison!",FALSE
"TVNEWSChip","",FALSE
"ClearwaterBchHI","In the heart of award-winning Clearwater Beach!   1-800-770-6461",FALSE
"Minneappletini","Female, LGBTQ+, human rights, writer, public relations, survivor of suicide loss. Lover of foreign languages and dogs. Not a doctor.",FALSE
"reelanimalsfish","Nationally syndicated Fishing Show starring Captain Mike Anderson; fishing the skinny flats to miles offshore with great tips, techniques & more!",FALSE
"fishermate_app","Official Twitter for FisherMate Social, Chat with anglers and spread the joy of fishing",FALSE
"theheinekentom","I cook, I eat, I travel... and I'm thirsty... for more.",FALSE
"BeachesChamber","The TBBCoC is one of the largest chambers in the Tampa Bay area, serving beach communities from Sand Key to Pass-A-Grille.
2012 FLORIDA CHAMBER OF THE YEAR!",FALSE
"joell51868","Wife & Mom first, Everything is better at the beach kinda girl. Born & raised Philly girl living in a Jersey World.",FALSE
"bree__cheese","24 💋| never not vibing 💞| she/her ♎♏♍",FALSE
"oceansoffreedom","Proud Mama to an amazing boy ❤ Ocean lover 🌊 Orcaholic 🐬 Pizza always 🍕 May or may not be a beer snob 🍻 Travel junkie ✈",FALSE
"ChrissyIles","Animal Activist! Love the Ocean, Orcas mostly. Fur Is Murder. Big Hearted!! If you love animals, We'll get along fine! Oh ya, Single too! We are Groot!!",FALSE
"WelcomeMachine1","",FALSE
"ladydiblu1","Eastern Orthodox ☦️ Oh Lord Save Thy People ☦️ 

Not about me-Nurse-Live in Twilight Zone",FALSE
"marcbonanno","join us for a trip of a lifetime!!",FALSE
"notrereveameric","📚 Auteur des #livres """"Notre Rêve Américain"""" et """"Expatriation aux USA, le jour d'après"""". Disponibles sur #amazon.#dvlottery #greencard #expatriation #usa #book",FALSE
"cleanairfrank","Retired President of the non-profit Clean Air Watch. Devoted dog dad.",FALSE
"felixculpa52","Person of Letters, retired NYC Literacy Teacher, musician, in Anti-Vietnam War & Civil Rights Movements, Steely Dan, Joni Mitchell, & Firesign Theatre fan.",FALSE
"89wunderlust","RESIST “Forewarned is forearmed”, we can’t afford to bury our heads in the sand. #VoteBlueNoMatterWho Married No DM’s",FALSE
"FromDiagnosis","This guided-imagery program has been created to help anyone who has been diagnosed with cancer. I am an educator, wellness/life coach, hypnotist, survivor.",FALSE
"DRenfranz","Degrees in Mass Comm and Sociology.  Observer: Comment from time-to-time. Not fond of America's new breed of neo-nazis.",FALSE
"MCLOVIN83","From Carolina to Miami and then to Savannah to Tampa.... Obviously I'm lost. Sneakers, Wrestling, Sports. Not in that order",FALSE
